Source,Target,Amount,LND1,LND2: c/300000.0,LND2: c/10.0
9383,1033,2209494,"[[9383, 4338, 321, 26, 1033], 3075.28518, 154, 5, 'Success']","[[9383, 4338, 1582, 1983, 2938, 576, 26, 1033], 1099.0970399999999, 274, 8, 'Success']","[[9383, 4338, 1582, 1983, 2938, 576, 26, 1033], 1099.0970399999999, 274, 8, 'Success']"
8160,431,10901115,"[[8160, 175, 50, 431], 601.81132, 98, 4, 'Success']","[[8160, 175, 73, 431], 601.81132, 98, 4, 'Success']","[[8160, 175, 73, 431], 601.81132, 98, 4, 'Success']"
3404,5198,2,"[[3404, 855, 5589, 5646, 5198], 0.00062, 160, 5, 'Success']","[[3404, 4261, 4792, 167, 4482, 999, 4508, 5646, 5198], 0.0002, 310, 9, 'Success']","[[3404, 4261, 4792, 167, 4482, 999, 4508, 5646, 5198], 0.0002, 310, 9, 'Success']"
6373,11145,64,"[[6373, 4822, 11057, 11145], 0.0, 328, 4, 'Success']","[[6373, 4822, 11057, 11145], 0.0, 328, 4, 'Success']","[[6373, 4822, 11057, 11145], 0.0, 328, 4, 'Success']"
10814,3693,479,"[[10814, 3083, 3520, 2840, 3693], 2.94017, 264, 5, 'Success']","[[10814, 3083, 5965, 12325, 10113, 12768, 6228, 6221, 9366, 2840, 3693], 2.5900499999999997, 498, 11, 'Success']","[[10814, 3083, 5965, 12325, 10113, 12768, 6228, 6221, 9366, 2840, 3693], 2.5900499999999997, 498, 11, 'Success']"
3191,6773,2931,"[[3191, 576, 9709, 6773], 1.00293, 120, 4, 'Success']","[[3191, 3778, 12325, 9709, 6773], 0.0, 154, 5, 'Success']","[[3191, 3778, 12325, 9709, 6773], 0.0, 154, 5, 'Success']"
9863,4747,10818,"[[9863, 4353, 314, 4641, 4747], 1.02364, 264, 5, 'Success']","[[9863, 4353, 314, 4641, 4747], 1.02364, 264, 5, 'Success']","[[9863, 4353, 314, 4641, 4747], 1.02364, 264, 5, 'Success']"
8698,494,168190,"[[8698, 3292, 489, 494], 0.16819, 100, 4, 'Success']","[[8698, 3292, 489, 494], 0.16819, 100, 4, 'Success']","[[8698, 3292, 489, 494], 0.16819, 100, 4, 'Success']"
6059,6677,3059815,"[[6059, 321, 3402, 6677], 2192.82973, 120, 4, 'Success']","[[6059, 356, 445, 8530, 6910, 623, 6677], 46.837559999999996, 240, 7, 'Success']","[[6059, 356, 445, 8530, 6910, 623, 6677], 46.837559999999996, 240, 7, 'Success']"
5,3321,11312677,"[[5, 59, 175, 64, 3321], 624.44724, 116, 5, 'Success']","[[5, 59, 175, 64, 3321], 624.44724, 116, 5, 'Success']","[[5, 59, 175, 64, 3321], 624.44724, 116, 5, 'Success']"
12858,2106,2,"[[12858, 9795, 12325, 600, 2081, 2106], 0.006, 194, 6, 'Success']","[[12858, 9795, 12325, 600, 2081, 2106], 0.006, 194, 6, 'Success']","[[12858, 9795, 12325, 600, 2081, 2106], 0.006, 194, 6, 'Success']"
